,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile,TotalHP
0,0,0,0,0,202500,0,1,1,2,1,0,0,0,18,2,1,8,1
1,0,0,1,1,247500,0,4,0,1,1,0,0,1,8,3,1,8,1
2,1,1,1,0,450000,4,1,1,1,1,0,1,0,10,2,2,8,2
3,0,0,1,0,202500,0,4,1,1,1,0,1,0,14,2,0,8,2
4,0,1,1,0,157500,2,1,1,1,1,0,0,0,10,2,2,7,1
5,0,0,1,2,270000,4,4,1,1,1,0,0,1,6,4,1,8,1
6,0,0,0,0,315000,4,4,2,1,1,0,0,1,3,1,2,8,1
7,1,0,1,0,270000,0,4,1,1,1,0,0,1,4,2,0,8,1
8,1,1,1,1,180000,0,1,1,1,1,0,0,1,18,3,2,8,1
9,0,0,1,0,103500,4,4,1,1,1,0,0,0,11,2,2,6,1
10,0,0,1,0,193500,4,4,2,1,1,1,1,1,8,1,2,8,3
11,1,1,1,1,135000,0,1,1,1,1,0,0,0,10,3,2,7,1
12,0,1,1,1,157500,0,4,1,1,1,0,0,0,0,3,0,7,1
13,0,0,0,0,135000,4,1,1,1,1,0,1,0,14,2,2,7,2
14,0,0,1,0,157500,1,4,3,1,1,0,1,0,18,1,2,7,2
15,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,0,7,2
16,1,0,1,0,180000,4,4,1,1,1,0,1,0,8,2,1,8,2
17,1,0,0,0,270000,0,4,0,5,1,0,0,1,14,2,2,8,1
18,0,0,1,0,216000,1,4,1,1,1,0,0,0,18,2,2,8,1
19,0,0,1,0,180000,4,4,1,1,1,0,0,0,18,2,2,8,1
20,1,0,0,0,180000,4,4,1,1,1,0,1,0,18,2,2,8,2
21,0,0,0,0,157500,1,4,1,1,1,0,1,0,18,2,2,7,2
22,0,0,0,0,157500,0,4,0,1,1,0,0,0,8,2,0,7,1
23,1,1,0,0,225000,4,4,1,2,1,1,1,1,18,2,2,8,3
24,0,0,0,0,202500,1,4,3,1,1,0,1,0,18,1,2,8,2
25,0,0,1,1,225000,0,4,1,1,1,0,0,0,13,3,2,8,1
26,1,1,0,1,135000,4,1,1,1,1,1,0,0,8,3,2,7,2
27,1,1,1,0,405000,2,4,1,1,1,0,0,0,18,2,2,8,1
28,1,1,0,0,112500,0,4,1,5,1,1,1,0,4,2,2,6,3
29,0,0,1,0,121500,0,4,1,0,1,0,1,0,14,2,0,7,2
30,1,1,0,0,225000,0,4,1,1,1,0,0,0,10,2,2,8,1
31,1,1,1,0,135000,0,1,1,1,1,1,0,1,8,2,0,7,2
32,0,0,1,0,135000,4,1,1,1,1,0,0,0,8,2,0,7,1
33,1,0,1,0,202500,4,4,1,1,1,0,1,0,6,2,2,8,2
34,1,1,1,1,270000,4,4,1,1,1,0,1,0,8,3,0,8,2
35,0,1,0,0,225000,4,1,0,1,1,0,0,0,10,2,2,8,1
36,0,1,0,0,225000,4,1,3,1,1,1,1,0,0,1,2,8,3
37,1,1,1,0,585000,0,4,1,5,1,0,0,0,4,2,2,8,1
38,0,0,1,0,202500,4,4,1,1,1,0,0,0,14,2,2,8,1
39,1,1,1,2,112500,4,4,1,1,1,0,0,0,8,4,2,6,1
40,1,1,1,0,90900,4,4,1,1,1,0,0,0,8,2,1,6,1
41,0,0,1,2,99000,0,1,1,1,1,0,1,0,0,4,2,6,2
42,1,0,0,1,270000,4,4,1,1,1,1,0,0,10,3,0,8,2
43,0,0,0,0,67500,4,4,1,1,1,0,0,0,14,2,1,4,1
44,1,0,0,0,247500,4,1,0,1,1,0,0,0,4,2,2,8,1
45,1,1,0,0,405000,4,1,1,1,1,1,1,0,6,2,0,8,3
46,0,0,0,0,135000,1,4,4,1,1,0,1,0,18,1,2,7,2
47,0,1,1,0,292500,0,1,1,1,1,0,0,0,14,2,2,8,1
48,0,0,1,0,99000,1,4,1,1,1,0,0,0,18,2,2,6,1
49,0,0,1,0,585000,0,4,1,1,1,0,1,0,18,2,2,8,2
50,0,1,0,1,90000,4,4,1,1,1,1,0,0,14,3,2,6,2
51,1,1,1,0,495000,4,2,1,5,1,0,0,1,4,2,2,8,1
52,0,0,1,0,54000,1,4,1,1,1,0,1,0,18,2,2,3,2
53,0,1,1,2,306000,2,1,1,1,1,0,0,0,3,4,2,8,1
54,0,0,0,1,99000,4,4,1,1,1,0,0,0,18,3,1,6,1
55,0,0,1,0,180000,4,4,1,1,1,0,0,0,8,2,2,8,1
56,0,1,1,0,130500,4,4,1,1,1,0,1,0,8,2,2,7,2
57,0,0,1,0,225000,0,1,3,1,1,0,0,0,3,1,1,8,1
58,0,0,1,0,144000,1,4,1,1,1,0,0,0,18,2,2,7,1
59,0,0,1,0,360000,1,1,1,1,1,0,1,0,18,2,2,8,2
60,1,1,1,0,112500,1,4,2,1,1,0,0,0,18,1,1,6,1
61,1,1,0,1,270000,0,1,1,1,1,0,0,0,10,3,2,8,1
62,0,1,1,0,225000,4,1,1,1,1,0,1,0,3,2,1,8,2
63,1,1,1,0,315000,4,1,1,1,1,0,0,0,10,2,2,8,1
64,1,1,0,0,67500,0,4,3,2,1,0,0,0,16,1,2,4,1
65,0,0,1,0,40500,4,4,1,1,1,1,0,0,1,2,2,1,2
66,1,0,1,1,144000,4,4,1,1,1,0,0,0,8,3,1,7,1
67,0,0,1,2,157500,0,1,1,1,1,0,0,0,6,4,1,7,1
68,0,0,0,0,180000,4,4,1,1,1,0,0,0,8,2,1,8,1
69,0,0,1,0,157500,4,1,1,1,1,0,0,1,11,2,2,7,1
70,1,0,1,0,81000,0,1,3,1,1,0,1,0,8,1,2,5,2
71,1,1,0,2,202500,4,4,1,1,1,0,0,0,8,4,2,8,1
72,0,0,0,0,351000,0,1,1,1,1,0,1,0,18,2,2,8,2
73,0,0,1,0,180000,1,4,1,1,1,0,1,0,18,2,2,8,2
74,0,0,1,1,67500,4,4,1,1,1,1,1,0,14,3,2,4,3
75,0,1,1,0,315000,0,4,1,1,1,0,0,1,3,2,2,8,1
76,0,1,0,0,315000,0,1,1,1,1,1,1,0,18,2,2,8,3
77,0,0,0,0,135000,4,1,3,1,1,0,0,0,3,1,1,7,1
78,0,1,1,0,112500,4,4,1,1,1,1,0,0,14,2,1,6,2
